Year,State,NMFS.Name,Pounds,Metric.Tons,Dollars,Confidentiality,Collection,Scientific.Name,Tsn,Source
2009,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2009,MAINE,MENHADENS **,166942,76,21482,Public,Commercial,Brevoortia ,161731,ACCSP
2009,MARYLAND,MENHADENS **,9550316,4332,895601,Public,Commercial,Brevoortia ,161731,ACCSP
2009,MASSACHUSETTS,MENHADENS **,6695388,3037,751494,Public,Commercial,Brevoortia ,161731,ACCSP
2009,NEW YORK,MENHADENS **,102730,47,21335,Public,Commercial,Brevoortia ,161731,ACCSP
2009,NORTH CAROLINA,MENHADENS **,2124734,964,233804,Public,Commercial,Brevoortia ,161731,ACCSP
2009,RHODE ISLAND,MENHADENS **,107548,49,19664,Public,Commercial,Brevoortia ,161731,ACCSP
2009,VIRGINIA,MENHADENS **,351391883,159390,23578066,Public,Commercial,Brevoortia ,161731,ACCSP
2008,CONNECTICUT,MENHADENS **,104881,48,10488,Public,Commercial,Brevoortia ,161731,ACCSP
2008,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2008,MAINE,MENHADENS **,4200465,1905,428698,Public,Commercial,Brevoortia ,161731,ACCSP
2008,MARYLAND,MENHADENS **,9654813,4379,920301,Public,Commercial,Brevoortia ,161731,ACCSP
2008,MASSACHUSETTS,MENHADENS **,14097713,6395,1569866,Public,Commercial,Brevoortia ,161731,ACCSP
2008,NEW JERSEY,MENHADENS **,33838941,15349,2236566,Public,Commercial,Brevoortia ,161731,ACCSP
2008,NEW YORK,MENHADENS **,103373,47,24428,Public,Commercial,Brevoortia ,161731,ACCSP
2008,NORTH CAROLINA,MENHADENS **,645231,293,67718,Public,Commercial,Brevoortia ,161731,ACCSP
2008,RHODE ISLAND,MENHADENS **,269288,122,44116,Public,Commercial,Brevoortia ,161731,ACCSP
2008,VIRGINIA,MENHADENS **,353895252,160526,21270642,Public,Commercial,Brevoortia ,161731,ACCSP
2007,CONNECTICUT,MENHADENS **,90254,41,9029,Public,Commercial,Brevoortia ,161731,ACCSP
2007,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2007,MAINE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2007,MARYLAND,MENHADENS **,13740758,6233,1377744,Public,Commercial,Brevoortia ,161731,ACCSP
2007,MASSACHUSETTS,MENHADENS **,5513813,2501,522847,Public,Commercial,Brevoortia ,161731,ACCSP
2007,NEW JERSEY,MENHADENS **,37634929,17071,3193721,Public,Commercial,Brevoortia ,161731,ACCSP
2007,NEW YORK,MENHADENS **,129155,59,18603,Public,Commercial,Brevoortia ,161731,ACCSP
2007,NORTH CAROLINA,MENHADENS **,1134208,514,140995,Public,Commercial,Brevoortia ,161731,ACCSP
2007,RHODE ISLAND,MENHADENS **,8948,4,1195,Public,Commercial,Brevoortia ,161731,ACCSP
2007,VIRGINIA,MENHADENS **,420481003,190729,25316714,Public,Commercial,Brevoortia ,161731,ACCSP
2006,CONNECTICUT,MENHADENS **,866235,393,69303,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,DELAWARE,MENHADENS **,107824,49,10467,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,FLORIDA-EAST,MENHADENS **,157117,71,49360,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,MARYLAND,MENHADENS **,5192489,2355,650360,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,MASSACHUSETTS,MENHADENS **,2504211,1136,232507,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,NEW JERSEY,MENHADENS **,24085182,10925,2102620,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,NEW YORK,MENHADENS **,329986,150,34454,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,NORTH CAROLINA,MENHADENS **,962647,437,147795,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,RHODE ISLAND,MENHADENS **,82424,37,4609,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,VIRGINIA,MENHADENS **,370946438,168260,22305704,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,CONNECTICUT,MENHADENS **,30636,14,3068,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,DELAWARE,MENHADENS **,120429,55,14904,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,FLORIDA-EAST,MENHADENS **,39404,18,14776,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,MARYLAND,MENHADENS **,15759698,7149,1897538,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,MASSACHUSETTS,MENHADENS **,1967984,893,132625,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,NEW JERSEY,MENHADENS **,24092525,10928,9423313,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,NEW YORK,MENHADENS **,74205,34,9664,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,NORTH CAROLINA,MENHADENS **,13386247,6072,1223030,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,RHODE ISLAND,MENHADENS **,14471,7,3429,Public,Commercial,Brevoortia ,161731,ACCSPHIST
