,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2014,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2014,MARYLAND,MENHADENS **,"8,353,684","3,789","1,379,392",Public,Commercial,Brevoortia ,161731,ACCSP
2014,MASSACHUSETTS,MENHADENS **,"2,218,570","1,006","166,036",Public,Commercial,Brevoortia ,161731,ACCSP
2014,NEW JERSEY,MENHADENS **,"43,881,091","19,904","5,774,334",Public,Commercial,Brevoortia ,161731,ACCSP
2014,NEW YORK,MENHADENS **,"768,538",349,"113,033",Public,Commercial,Brevoortia ,161731,ACCSP
2014,NORTH CAROLINA,MENHADENS **,"917,905",416,"148,678",Public,Commercial,Brevoortia ,161731,ACCSP
2014,RHODE ISLAND,MENHADENS **,"500,903",227,"62,767",Public,Commercial,Brevoortia ,161731,ACCSP
2014,VIRGINIA,MENHADENS **,"326,817,181","148,243","26,045,630",Public,Commercial,Brevoortia ,161731,ACCSP
2013,CONNECTICUT,MENHADENS **,"6,703",3,"3,934",Public,Commercial,Brevoortia ,161731,ACCSP
2013,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2013,MARYLAND,MENHADENS **,"7,682,317","3,485","903,449",Public,Commercial,Brevoortia ,161731,ACCSP
2013,MASSACHUSETTS,MENHADENS **,"2,301,539","1,044","177,968",Public,Commercial,Brevoortia ,161731,ACCSP
2013,NEW YORK,MENHADENS **,"1,141,133",518,"117,228",Public,Commercial,Brevoortia ,161731,ACCSP
2013,NORTH CAROLINA,MENHADENS **,"454,206",206,"74,991",Public,Commercial,Brevoortia ,161731,ACCSP
2013,RHODE ISLAND,MENHADENS **,"99,821",45,"17,732",Public,Commercial,Brevoortia ,161731,ACCSP
2013,VIRGINIA,MENHADENS **,"317,949,684","144,221","25,342,950",Public,Commercial,Brevoortia ,161731,ACCSP
2012,CONNECTICUT,MENHADENS **,"37,454",17,"9,513",Public,Commercial,Brevoortia ,161731,ACCSP
2012,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2012,MARYLAND,MENHADENS **,"16,371,030","7,426","1,667,547",Public,Commercial,Brevoortia ,161731,ACCSP
2012,MASSACHUSETTS,MENHADENS **,"1,629,204",739,"189,485",Public,Commercial,Brevoortia ,161731,ACCSP
2012,NEW YORK,MENHADENS **,"218,695",99,"22,651",Public,Commercial,Brevoortia ,161731,ACCSP
2012,NORTH CAROLINA,MENHADENS **,"538,792",244,"82,363",Public,Commercial,Brevoortia ,161731,ACCSP
2012,RHODE ISLAND,MENHADENS **,"106,606",48,"18,300",Public,Commercial,Brevoortia ,161731,ACCSP
2012,VIRGINIA,MENHADENS **,"390,317,699","177,047","31,106,848",Public,Commercial,Brevoortia ,161731,ACCSP
2011,CONNECTICUT,MENHADENS **,"26,929",12,"7,305",Public,Commercial,Brevoortia ,161731,ACCSP
2011,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2011,MAINE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2011,MARYLAND,MENHADENS **,"7,981,573","3,620","681,905",Public,Commercial,Brevoortia ,161731,ACCSP
2011,MASSACHUSETTS,MENHADENS **,"86,641",39,"87,977",Public,Commercial,Brevoortia ,161731,ACCSP
2011,NEW YORK,MENHADENS **,"201,405",91,"32,962",Public,Commercial,Brevoortia ,161731,ACCSP
